Entry	Entry name	Status	Protein names	Gene names	Organism	Taxonomic lineage (ALL)	Taxonomic lineage IDs	Taxonomic lineage (CLASS)	Taxonomic lineage (PHYLUM)	Taxonomic lineage (SUBPHYLUM)	Taxonomic lineage (SUBCLASS)	Taxonomic lineage (KINGDOM)	Taxonomic lineage (SUPERPHYLUM)	Taxonomic lineage (SUPERKINGDOM)	Taxonomic lineage (SUPERCLASS)	Taxonomic lineage (SUBKINGDOM)	Proteomes
A0A6G1LR49	A0A6G1LR49_9HYME	unreviewed	Odorant receptor	Or-112 Nful_v1.0-Or-112 Nful_v1.0-Or-113 Or-113 NFUL_NFUL000106 NFUL_NFUL000223	Nylanderia fulva	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Hymenoptera, Apocrita (wasps, ants, and bees), Aculeata, Formicoidea, Formicidae, Formicinae, Lasiini, Nylanderia, Nylanderia fulva	613905	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000479987: Unassembled WGS sequence
A0A6G0UCB2	A0A6G0UCB2_9BILA	unreviewed	Uncharacterized protein (Fragment)	FO519_010094 FO519_010164	Halicephalobus sp. NKZ332	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Tylenchina, Panagrolaimomorpha, Panagrolaimoidea, Panagrolaimidae, Halicephalobus, unclassified Halicephalobus, Halicephalobus sp. NKZ332	2598192	Chromadorea	Nematoda (roundworms)			Metazoa		Eukaryota			UP000488831: Unassembled WGS sequence
A0A7E4VI65	A0A7E4VI65_PANRE	unreviewed	Histone H3		Panagrellus redivivus (Microworm)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Nematoda (roundworms), Chromadorea, Rhabditida, Tylenchina, Panagrolaimomorpha, Panagrolaimoidea, Panagrolaimidae, Panagrellus, Panagrellus redivivus (Microworm)	6233	Chromadorea	Nematoda (roundworms)			Metazoa		Eukaryota			UP000492821: Unassembled WGS sequence
O96559	APY_CIMLE	reviewed	Apyrase (EC 3.6.1.5)	APY	Cimex lectularius (Bed bug) (Acanthia lectularia)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Paraneoptera, Hemiptera, Prosorrhyncha (bugs), Heteroptera (true bugs), Euheteroptera, Neoheteroptera, Panheteroptera, Cimicomorpha, Cimicoidea, Cimicidae (bedbugs), Cimex, Cimex lectularius (Bed bug) (Acanthia lectularia)	79782	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000494040: Unplaced
A0A0M4EFW4	A0A0M4EFW4_DROBS	unreviewed	Peptidoglycan-recognition protein	Dbus_chr2Rg764 Dbus_chr2Rg765	Drosophila busckii (Fruit fly)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Diptera, Brachycera, Muscomorpha, Eremoneura, Cyclorrhapha, Schizophora, Acalyptratae, Ephydroidea, Drosophilidae (pomace flies), Drosophilinae, Drosophilini, Drosophila (fruit flies), Dorsilopha, Drosophila busckii (Fruit fly)	30019	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000494163: Chromosome 2r sequence
A0A4Y2U988	A0A4Y2U988_ARAVE	unreviewed	Potassium voltage-gated channel subfamily KQT member 1 (Fragment)	KCNQ1_2 KCNQ1_1 AVEN_132908_1 AVEN_49543_1	Araneus ventricosus (Orbweaver spider) (Epeira ventricosa)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Chelicerata, Arachnida, Araneae (spiders), Araneomorphae, Entelegynae, Orbiculariae, Araneoidea, Araneidae (orb weavers), Araneus, Araneus ventricosus (Orbweaver spider) (Epeira ventricosa)	182803	Arachnida	Arthropoda	Chelicerata		Metazoa		Eukaryota			UP000499080: Unassembled WGS sequence
A0A6F9BBJ4	A0A6F9BBJ4_9TELE	unreviewed	Dimer_Tnp_hAT domain-containing protein	CSTEINMANNI_LOCUS1016023 CSTEINMANNI_LOCUS178 CSTEINMANNI_LOCUS2291163 CSTEINMANNI_LOCUS2412195 CSTEINMANNI_LOCUS2772804 CSTEINMANNI_LOCUS3426356 CSTEINMANNI_LOCUS509537	Coregonus sp. 'balchen'	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Euteleosteomorpha, Protacanthopterygii, Salmoniformes (salmons and trouts), Salmonidae (salmonids), Coregoninae (whitefishes), Coregonus, unclassified Coregonus, Coregonus sp. 'balchen'	861768	Actinopteri	Chordata	Craniata	Neopterygii	Metazoa		Eukaryota	Actinopterygii		UP000502089: Chromosome: 27
A0A6L2Q2I6	A0A6L2Q2I6_COPFO	unreviewed	rRNA adenine N(6)-methyltransferase (EC 2.1.1.-)	Cfor_12561	Coptotermes formosanus (Formosan subterranean termite)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Polyneoptera, Dictyoptera, Blattodea (cockroaches), Blattoidea, Termitoidae (termites), Rhinotermitidae (subterranean termites), Coptotermitinae, Coptotermes, Coptotermes formosanus (Formosan subterranean termite)	36987	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000502823: Unassembled WGS sequence
A0A6G1PWC6	A0A6G1PWC6_9TELE	unreviewed	Diacylglycerol kinase (DAG kinase) (EC 2.7.1.107)	EXN66_Car010159	Channa argus (northern snakehead)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Euteleosteomorpha, Neoteleostei, Eurypterygia, Ctenosquamata, Acanthomorphata, Euacanthomorphacea, Percomorphaceae, Anabantaria, Anabantiformes (gouramies and others), Channoidei, Channidae (snakeheads), Channa, Channa argus (northern snakehead)	215402	Actinopteri	Chordata	Craniata	Neopterygii	Metazoa		Eukaryota	Actinopterygii		UP000503349: Chromosome 10
P0DTV2	APOA1_PERMB	reviewed	Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I]	Apoa1	Peromyscus maniculatus bairdii (Prairie deer mouse)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Glires (Rodents and rabbits), Rodentia, Myomorpha (mice and others), Muroidea, Cricetidae, Neotominae, Peromyscus, Peromyscus maniculatus (North American deer mouse), Peromyscus maniculatus bairdii (Prairie deer mouse)	230844	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000504601: Unplaced
P0DMV5	ALX1_GEOFO	reviewed	ALX homeobox protein 1 (Cartilage homeoprotein 1) (CART-1)	ALX1 CART1	Geospiza fortis (Medium ground-finch)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria (diapsids), Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Passeriformes, Thraupidae (tanagers), Geospiza, Geospiza fortis (Medium ground-finch)	48883	Aves	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000504602: Unplaced
Q34916	CYB_VICPA	reviewed	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	MT-CYB COB CYTB MTCYB	Vicugna pacos (Alpaca) (Lama pacos)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Artiodactyla, Tylopoda, Camelidae, Vicugna, Vicugna pacos (Alpaca) (Lama pacos)	30538	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000504605: Mitochondrion MT
A0A6J1T0W7	A0A6J1T0W7_FRAOC	unreviewed	COX assembly mitochondrial protein	LOC113212607	Frankliniella occidentalis (Western flower thrips) (Euthrips occidentalis)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Paraneoptera, Thysanoptera (thrips), Terebrantia, Thripoidea, Thripidae (true thrips), Thripinae, Frankliniella, Frankliniella occidentalis (Western flower thrips) (Euthrips occidentalis)	133901	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000504606: Unplaced
A0A6I9MWN9	A0A6I9MWN9_9TELE	unreviewed	uncharacterized protein C10orf88 homolog	LOC104944894	Notothenia coriiceps (black rockcod)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Euteleosteomorpha, Neoteleostei, Eurypterygia, Ctenosquamata, Acanthomorphata, Euacanthomorphacea, Percomorphaceae, Eupercaria, Perciformes (perches and others), Notothenioidei, Nototheniidae (Antarctic cods), Notothenia, Notothenia coriiceps (black rockcod)	8208	Actinopteri	Chordata	Craniata	Neopterygii	Metazoa		Eukaryota	Actinopterygii		UP000504611: Unplaced
A0A6J1UMB9	A0A6J1UMB9_9SAUR	unreviewed	sickle tail protein homolog isoform X6	KIAA1217	Notechis scutatus (mainland tiger snake)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria (diapsids), Lepidosauria (lepidosaurs), Squamata (squamates), Bifurcata (split-tongued squamates), Unidentata, Episquamata, Toxicofera, Serpentes (snakes), Colubroidea, Elapidae, Acanthophiinae, Notechis, Notechis scutatus (mainland tiger snake)	8663	Lepidosauria (lepidosaurs)	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000504612: Unplaced
A0A6J0Y615	A0A6J0Y615_ODOVR	unreviewed	la-related protein 1B isoform X10	LARP1B	Odocoileus virginianus texanus	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Artiodactyla, Ruminantia, Pecora, Cervidae (deer), Odocoileinae, Odocoileus, Odocoileus virginianus (White-tailed deer), Odocoileus virginianus texanus	9880	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000504613: Unplaced
Q24995	ARY_GALME	reviewed	Arylphorin (Lhp76)	LOC113516268 Arylphorin	Galleria mellonella (Greater wax moth)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Amphiesmenoptera, Lepidoptera (butterflies and moths), Glossata, Neolepidoptera, Heteroneura, Ditrysia, Obtectomera, Pyraloidea, Pyralidae (snout moths), Galleriinae, Galleria, Galleria mellonella (Greater wax moth)	7137	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000504614: Unplaced
A0A6I9VMV5	A0A6I9VMV5_9HYME	unreviewed	uncharacterized protein LOC105422274	LOC105422274	Pogonomyrmex barbatus (red harvester ant)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Hymenoptera, Apocrita (wasps, ants, and bees), Aculeata, Formicoidea, Formicidae, Myrmicinae, Pogonomyrmecini, Pogonomyrmex, Pogonomyrmex barbatus (red harvester ant)	144034	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000504615: Unplaced
P45887	ACT5_BACDO	reviewed	Actin-5, muscle-specific		Bactrocera dorsalis (Oriental fruit fly) (Dacus dorsalis)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Diptera, Brachycera, Muscomorpha, Eremoneura, Cyclorrhapha, Schizophora, Acalyptratae, Tephritoidea, Tephritidae (fruit flies), Dacinae, Dacini, Bactrocera, Bactrocera, Bactrocera dorsalis complex, Bactrocera dorsalis (Oriental fruit fly) (Dacus dorsalis)	27457	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000504616: Unplaced
A0A6I9Z2T2	A0A6I9Z2T2_9SAUR	unreviewed	Prohibitin	PHB	Thamnophis sirtalis	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria (diapsids), Lepidosauria (lepidosaurs), Squamata (squamates), Bifurcata (split-tongued squamates), Unidentata, Episquamata, Toxicofera, Serpentes (snakes), Colubroidea, Colubridae (colubrid snakes), Natricinae, Thamnophis, Thamnophis sirtalis	35019	Lepidosauria (lepidosaurs)	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000504617: Unplaced
A0A6J1RFD2	A0A6J1RFD2_9HYME	unreviewed	Mitochondrial import inner membrane translocase subunit Tim21	LOC112467229	Temnothorax curvispinosus	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Hymenoptera, Apocrita (wasps, ants, and bees), Aculeata, Formicoidea, Formicidae, Myrmicinae, Crematogastrini, Temnothorax, Temnothorax curvispinosus	300111	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000504618: Unplaced
A0A6J0TKY1	A0A6J0TKY1_9SAUR	unreviewed	5'-AMP-activated protein kinase subunit gamma-3 isoform X1	PRKAG3	Pogona vitticeps (central bearded dragon)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria (diapsids), Lepidosauria (lepidosaurs), Squamata (squamates), Bifurcata (split-tongued squamates), Unidentata, Episquamata, Toxicofera, Iguania (iguanian lizards), Acrodonta, Agamidae, Amphibolurinae, Pogona, Pogona vitticeps (central bearded dragon)	103695	Lepidosauria (lepidosaurs)	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000504619: Unplaced
A0A6J1NKL9	A0A6J1NKL9_BICAN	unreviewed	thioredoxin, mitochondrial	LOC112052580	Bicyclus anynana (Squinting bush brown butterfly)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Amphiesmenoptera, Lepidoptera (butterflies and moths), Glossata, Neolepidoptera, Heteroneura, Ditrysia, Obtectomera, Papilionoidea (butterflies), Nymphalidae (brushfoots), Satyrinae (graylings, ringlets, browns & heaths), Satyrini, Mycalesina, Bicyclus (bush browns), Bicyclus anynana (Squinting bush brown butterfly)	110368	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000504620: Unplaced
A0A6J0CCQ7	A0A6J0CCQ7_NEOLC	unreviewed	probable serine/threonine-protein kinase DDB_G0282963 isoform X3	LOC107227762	Neodiprion lecontei (Redheaded pine sawfly)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Hymenoptera, Tenthredinoidea, Diprionidae, Diprioninae, Neodiprion, Neodiprion lecontei (Redheaded pine sawfly)	441921	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000504622: Unplaced
Q7Y8I2	CYB_CHRAS	reviewed	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	MT-CYB COB CYTB MTCYB	Chrysochloris asiatica (Cape golden mole)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Afrotheria, Chrysochloridae (Golden moles), Chrysochlorinae, Chrysochloris, Chrysochloris asiatica (Cape golden mole)	185453	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000504623: Mitochondrion MT
P0DSP0	APOC3_ACIJB	reviewed	Apolipoprotein C-III (Apo-CIII) (ApoC-III) (Apolipoprotein C3)	APOC3	Acinonyx jubatus (Cheetah)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Carnivora, Feliformia, Felidae (cat family), Acinonychinae, Acinonyx, Acinonyx jubatus (Cheetah)	32536	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000504626: Unplaced
A0A6J2FTS9	A0A6J2FTS9_9PASS	unreviewed	helicase with zinc finger domain 2	HELZ2	Pipra filicauda (Wire-tailed manakin)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria (diapsids), Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Passeriformes, Pipridae, Pipra, Pipra filicauda (Wire-tailed manakin)	649802	Aves	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000504627: Unplaced
A0A6J2NET5	A0A6J2NET5_9CHIR	unreviewed	protein PIMREG	PIMREG	Phyllostomus discolor (pale spear-nosed bat)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Laurasiatheria, Chiroptera, Microchiroptera, Phyllostomidae (leaf-nosed bats), Phyllostominae, Phyllostomus, Phyllostomus discolor (pale spear-nosed bat)	89673	Mammalia	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000504628: Chromosome 8
Q99050	FIBH_BOMMA	reviewed	Fibroin heavy chain (Fib-H) (H-fibroin) (Fragment)	FIBH	Bombyx mandarina (Wild silk moth) (Wild silkworm)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Amphiesmenoptera, Lepidoptera (butterflies and moths), Glossata, Neolepidoptera, Heteroneura, Ditrysia, Obtectomera, Bombycoidea (hawk-moths), Bombycidae (silkworm moths), Bombycinae, Bombyx, Bombyx mandarina (Wild silk moth) (Wild silkworm)	7092	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000504629: Unplaced
P84652	HBB_COTGO	reviewed	Hemoglobin subunit beta (Beta-globin) (Hemoglobin beta chain)	hbb	Cottoperca gobio (Frogmouth) (Aphritis gobio)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Euteleosteomorpha, Neoteleostei, Eurypterygia, Ctenosquamata, Acanthomorphata, Euacanthomorphacea, Percomorphaceae, Eupercaria, Perciformes (perches and others), Notothenioidei, Bovichtidae (thornfishes), Cottoperca, Cottoperca gobio (Frogmouth) (Aphritis gobio)	56716	Actinopteri	Chordata	Craniata	Neopterygii	Metazoa		Eukaryota	Actinopterygii		UP000504630: Genome assembly
A0A6J3K315	A0A6J3K315_9HYME	unreviewed	U-scoloptoxin(05)-Sm1a isoform X1	LOC117231959	Bombus vosnesenskii	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Hymenoptera, Apocrita (wasps, ants, and bees), Aculeata, Apoidea (bees), Apidae (bumble bees and honey bees), Apinae (honey bees), Bombini, Bombus (bumble bees), Pyrobombus, Bombus vosnesenskii	207650	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000504631: Unplaced
A0A6J2VQG2	A0A6J2VQG2_CHACN	unreviewed	voltage-dependent calcium channel subunit alpha-2/delta-2-like	LOC115815411	Chanos chanos (Milkfish) (Mugil chanos)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Actinopterygii, Actinopteri, Neopterygii, Teleostei, Osteoglossocephalai, Clupeocephala, Otomorpha, Ostariophysi, Anotophysi, Gonorynchiformes (milkfish and others), Chanoidei, Chanidae (milkfish), Chanos, Chanos chanos (Milkfish) (Mugil chanos)	29144	Actinopteri	Chordata	Craniata	Neopterygii	Metazoa		Eukaryota	Actinopterygii		UP000504632: Chromosome 6
O96570	A37C_DROLE	reviewed	Protein anon-37Cs	anon-37Cs Cs CG10561	Drosophila lebanonensis (Fruit fly) (Scaptodrosophila lebanonensis)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Diptera, Brachycera, Muscomorpha, Eremoneura, Cyclorrhapha, Schizophora, Acalyptratae, Ephydroidea, Drosophilidae (pomace flies), Drosophilinae, Colocasiomyini, Scaptodrosophila, victoria group, Drosophila lebanonensis (Fruit fly) (Scaptodrosophila lebanonensis)	7225	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000504634: Unplaced
E7CIP7	PME_SITOR	reviewed	Pectinesterase (EC 3.1.1.11) (Pectin methylesterase)	CE8-1	Sitophilus oryzae (Rice weevil) (Curculio oryzae)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Protostomia, Ecdysozoa, Panarthropoda, Arthropoda, Mandibulata, Pancrustacea, Hexapoda, Insecta, Dicondylia, Pterygota (winged insects), Neoptera, Endopterygota, Coleoptera, Polyphaga, Cucujiformia, Curculionoidea, Curculionidae (weevils), Dryophthorinae (palm weevils), Sitophilus, Sitophilus oryzae (Rice weevil) (Curculio oryzae)	7048	Insecta	Arthropoda	Hexapoda	Pterygota (winged insects)	Metazoa		Eukaryota			UP000504635: Unplaced
P84791	HBAD_AYTFU	reviewed	Hemoglobin subunit alpha-D (Alpha-D-globin) (Hemoglobin alpha-D chain)	HBAD	Aythya fuligula (Tufted duck) (Anas fuligula)	cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Sauropsida, Sauria (diapsids), Archelosauria, Archosauria, Dinosauria, Saurischia, Theropoda, Coelurosauria, Aves, Neognathae, Galloanserae, Anseriformes (ducks, geese and swans), Anatidae (waterfowl), Aythyinae, Aythya, Aythya fuligula (Tufted duck) (Anas fuligula)	219594	Aves	Chordata	Craniata		Metazoa		Eukaryota	Sarcopterygii		UP000504639: Genome assembly
